ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	102.0456336332871	102.0456336332871	102.0456336332871	102.0456336332871
1	103.47457282580326	102.87544670094474	103.18033729382105	103.48522788669733
2	103.6267277168052	102.93617045009599	103.41707485839777	103.8803326715929
3	104.41753015008649	103.51446697657339	104.17388245289688	104.7996790876779
4	104.57155969969695	103.61536058831418	104.38742998785267	105.11359299316567
5	104.82509744737882	103.84794601769447	104.69905130184381	105.48338487426462
6	105.07127255195388	104.07548852773358	104.94646490634229	105.72549128911164
7	105.28822249424744	104.2065269955531	105.15019701635879	105.98146547105561
8	105.46833927680079	104.46862477382874	105.38658099487459	106.19261566746071
9	105.61811748248144	104.55822940384103	105.49619345744772	106.3026958293963
10	105.78776494413933	104.78381362167056	105.69448141658539	106.46721713543981
