Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	16:23:08	16:23:08	16:23:08			16:23:08	16:23:08	16:23:10	16:23:10	16:23:10	16:23:10	16:23:10	16:23:33	16:23:33	16:23:33	16:23:33	16:23:33	16:23:33			16:23:40	16:23:40		00:00:00		00:00:01	00:00:01	00:00:00	00:00:23	00:00:00	00:00:00		00:00:06	00:00:32
1	16:23:40	16:23:40	16:23:40	16:23:40	16:23:43	16:23:43	16:23:43	16:23:44	16:23:44	16:23:44	16:23:44	16:23:44	16:23:55	16:23:55	16:23:55	16:23:55	16:23:55	16:23:55			16:23:56	16:23:56		00:00:00	00:00:02	00:00:01	00:00:01	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:15
2	16:23:56	16:23:56	16:23:56	16:23:56	16:23:58	16:23:58			16:23:58	16:23:58	16:23:58	16:23:58	16:24:10	16:24:10	16:24:10	16:24:10	16:24:10	16:24:10			16:24:11	16:24:11		00:00:00	00:00:02		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:15
3	16:24:11	16:24:11	16:24:11	16:24:11	16:24:13	16:24:13			16:24:13	16:24:13	16:24:13	16:24:13	16:24:24	16:24:24	16:24:24	16:24:24	16:24:24	16:24:24			16:24:25	16:24:25		00:00:00	00:00:01		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:01	00:00:14
4	16:24:25	16:24:25	16:24:25	16:24:25	16:24:27	16:24:27			16:24:27	16:24:27	16:24:27	16:24:27	16:24:38	16:24:38	16:24:38	16:24:38	16:24:38	16:24:38			16:24:38	16:24:38		00:00:00	00:00:01		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:12
5	16:24:38	16:24:38	16:24:38	16:24:38	16:24:40	16:24:40			16:24:40	16:24:40	16:24:40	16:24:40	16:24:50	16:24:50	16:24:50	16:24:50	16:24:50	16:24:50			16:24:51	16:24:51		00:00:00	00:00:01		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:12
6	16:24:51	16:24:51	16:24:51	16:24:51	16:24:52	16:24:52			16:24:52	16:24:52	16:24:52	16:24:52	16:25:02	16:25:02	16:25:02	16:25:02	16:25:02	16:25:02			16:25:03	16:25:03		00:00:00	00:00:01		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:11
7	16:25:03	16:25:03	16:25:03	16:25:03	16:25:04	16:25:04			16:25:04	16:25:04	16:25:04	16:25:04	16:25:14	16:25:14	16:25:14	16:25:14	16:25:14	16:25:14			16:25:15	16:25:15		00:00:00	00:00:01		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:12
8	16:25:15	16:25:15	16:25:15	16:25:15	16:25:17	16:25:17			16:25:17	16:25:17	16:25:17	16:25:17	16:25:26	16:25:26	16:25:26	16:25:26	16:25:26	16:25:26			16:25:27	16:25:27		00:00:00	00:00:01		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:11
9	16:25:27	16:25:27	16:25:27	16:25:27	16:25:29	16:25:29			16:25:29	16:25:29	16:25:29	16:25:29	16:25:38	16:25:38	16:25:38	16:25:38	16:25:38	16:25:38			16:25:39	16:25:39		00:00:00	00:00:01		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:11
10	16:25:39	16:25:39	16:25:39	16:25:39	16:25:41	16:25:41			16:25:41	16:25:41	16:25:41	16:25:41	16:25:57	16:25:57	16:25:57	16:25:57	16:25:57	16:25:57	16:25:57	16:25:57	16:25:59	16:25:59		00:00:00	00:00:01		00:00:00	00:00:00	00:00:16	00:00:00	00:00:00	00:00:00	00:00:01	00:00:19
