ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	139.38654934146504	139.38654934146504	139.38654934146504	139.38654934146504
1	139.38650637326495	139.38641053261745	139.38653175968915	139.38665298676088
2	139.3864487125356	139.38623856198893	139.3865245105773	139.38681045916556
3	139.38647083983835	139.3859835213935	139.38643286846272	139.38687537914169
4	139.38645657206405	139.38598970121777	139.3865078215899	139.3870383534645
5	139.38659178169758	139.38596841848064	139.38645572375228	139.38696507586621
6	139.38660298773627	139.38586817658495	139.38649078007907	139.3870935331556
7	139.38643768196474	139.38576389676496	139.3865000030927	139.38720954293197
8	139.38659206459698	139.38589322444133	139.3865991498053	139.38729642791168
9	139.38637735722077	139.38553171946003	139.3864200163911	139.38730324115033
10	139.38662826993357	139.38542958382178	139.38646883594228	139.38745158708414
