Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	22:53:16	22:53:16	22:53:16			22:53:16	22:53:16	22:53:16	22:53:16	22:53:16	22:53:16	22:53:16	22:53:21	22:53:21	22:53:21	22:53:21	22:53:21	22:53:21			22:53:24	22:53:24		00:00:00		00:00:00	00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:03	00:00:08
1	22:53:24	22:53:24	22:53:24	22:53:24	22:53:24	22:53:24	22:53:24	22:53:25	22:53:25	22:53:25	22:53:25	22:53:25	22:53:27	22:53:27	22:53:27	22:53:27	22:53:27	22:53:27			22:53:28	22:53:28		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:04
2	22:53:28	22:53:28	22:53:28	22:53:28	22:53:28	22:53:28			22:53:28	22:53:28	22:53:29	22:53:29	22:53:31	22:53:31	22:53:31	22:53:31	22:53:31	22:53:31			22:53:31	22:53:31		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
3	22:53:32	22:53:32	22:53:32	22:53:32	22:53:32	22:53:32			22:53:32	22:53:32	22:53:32	22:53:32	22:53:34	22:53:34	22:53:34	22:53:34	22:53:34	22:53:34			22:53:35	22:53:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
4	22:53:35	22:53:35	22:53:35	22:53:35	22:53:35	22:53:35			22:53:35	22:53:35	22:53:35	22:53:35	22:53:37	22:53:37	22:53:37	22:53:37	22:53:37	22:53:37			22:53:38	22:53:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
5	22:53:38	22:53:38	22:53:38	22:53:38	22:53:38	22:53:38			22:53:38	22:53:38	22:53:38	22:53:38	22:53:41	22:53:41	22:53:41	22:53:41	22:53:41	22:53:41			22:53:41	22:53:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
6	22:53:41	22:53:41	22:53:41	22:53:41	22:53:41	22:53:41			22:53:41	22:53:41	22:53:41	22:53:41	22:53:44	22:53:44	22:53:44	22:53:44	22:53:44	22:53:44			22:53:44	22:53:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
7	22:53:44	22:53:44	22:53:44	22:53:44	22:53:44	22:53:44			22:53:44	22:53:44	22:53:44	22:53:44	22:53:47	22:53:47	22:53:47	22:53:47	22:53:47	22:53:47			22:53:47	22:53:47		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
8	22:53:47	22:53:47	22:53:47	22:53:47	22:53:47	22:53:47			22:53:47	22:53:47	22:53:47	22:53:47	22:53:50	22:53:50	22:53:50	22:53:50	22:53:50	22:53:50			22:53:50	22:53:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
9	22:53:50	22:53:50	22:53:50	22:53:50	22:53:50	22:53:50			22:53:50	22:53:50	22:53:50	22:53:50	22:53:52	22:53:52	22:53:52	22:53:52	22:53:52	22:53:52			22:53:53	22:53:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
10	22:53:53	22:53:53	22:53:53	22:53:53	22:53:53	22:53:53			22:53:53	22:53:53	22:53:53	22:53:53	22:53:56	22:53:56	22:53:56	22:53:56	22:53:56	22:53:56	22:53:56	22:53:56	22:53:57	22:53:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00	00:00:00	00:00:00	00:00:03
